Season,Role,First Name,Last Name,Sport,Enrollment Status,Nomination Approved,Nomination Claimed,Carding Level,Level Category,Sex of Competition,Nccp Number,Full Name
Summer,Athlete,Mariam,Abdul-Rashid,Athletics,,True,False,SR,Canadian Elite,,,Mariam Abdul-Rashid
Winter,Athlete,Tobi,Ade,Bobsleigh,Incomplete,True,False,D,Canadian Elite,Male,,Tobi Ade
Summer,Athlete,Samuel,Adekugbe,Soccer,,True,False,SR,Canadian Elite,,,Samuel Adekugbe
Summer,Athlete,Eliezer,Adjibi,Athletics,,True,False,SR,Canadian Elite,,,Eliezer Adjibi
Summer,Athlete,Ali,Ahmed,Soccer,,True,False,SR,Canadian Elite,,,Ali Ahmed
Summer,Athlete,Mohammed,Ahmed,Athletics,Active,True,True,SR1,Canadian Elite,Male,,Mohammed Ahmed
Summer,Athlete,Tatiana,Aholou,Athletics,,True,False,D,Canadian Elite,,,Tatiana Aholou
Winter,Athlete,Cameron,Alexander,Alpine Ski,Active,True,True,SR1,Canadian Elite,Male,,Cameron Alexander
Winter,Athlete,Kyle,Alexander,Alpine Ski,Active,True,True,SR1,Canadian Elite,Male,,Kyle Alexander
Summer,Athlete,Marie-Yasmine,Alidou,Soccer,,True,False,SR,Canadian Elite,,,Marie-Yasmine Alidou
Summer,Athlete,Curtis,Ames,Rowing,Active,True,True,SR1,Canadian Elite,Male,,Curtis Ames
Winter,Athlete,Cynthia,Appiah Serwaah,Bobsleigh,Active,True,True,SR,Canadian Elite,Female,,Cynthia Appiah Serwaah
Summer,Athlete,Jamie,Armstrong,Rugby,,True,False,D,Canadian Elite,,,Jamie Armstrong
Summer,Athlete,Marco,Arop,Athletics,Active,True,True,SR1,Canadian Elite,Male,,Marco Arop
Summer,Athlete,Max,Arsenault,Wheelchair Rugby,Active,True,True,D,Canadian Elite,Any/Combined,,Max Arsenault
Summer,Athlete,Camille,Arvin-Bérod,Rugby,Incomplete,True,False,D,Canadian Elite,Female,,Camille Arvin-Bérod
Summer,Athlete,Duan,Asemota,Athletics,,True,False,SR,Canadian Elite,,,Duan Asemota
Winter,Athlete,William,Ashley,Bobsleigh,Active,True,True,D,Canadian Elite,Male,,William Ashley
Winter,Athlete,Olivia,Asselin,Freestyle Ski,Incomplete,True,False,SR1,Canadian Elite,Female,,Olivia Asselin
Summer,Athlete,Gabrielle,Attieh,Volleyball,Active,True,True,D,Canadian Elite,Female,,Gabrielle Attieh
Summer,Athlete,Lauren,Attieh,Volleyball,,True,False,D,Canadian Elite,,,Lauren Attieh
Winter,Athlete,Taylor,Austin,Bobsleigh,Incomplete,True,False,SR,Canadian Elite,Male,,Taylor Austin
Summer,Athlete,Simi,Awujo,Soccer,,True,False,D,Canadian Elite,,,Simi Awujo
Summer,Athlete,Luke,Bagshaw,Rugby,Incomplete,True,False,D,Canadian Elite,Male,,Luke Bagshaw
Summer,Athlete,Theo,Bair,Soccer,,True,False,SR,Canadian Elite,,,Theo Bair
Winter,Athlete,Jasmine,Baird,Snowboard,Active,True,True,SR1,Canadian Elite,Female,,Jasmine Baird
Winter,Athlete,Kaleb,Barnum,Ski Cross,Incomplete,True,False,SR,Canadian Elite,Male,,Kaleb Barnum
Winter,Athlete,Quincy,Barr,Freestyle Ski,,True,False,D,Canadian Elite,,,Quincy Barr
Summer,Athlete,Domenic,Barresi,Athletics,,True,False,D,Canadian Elite,,,Domenic Barresi
Summer,Athlete,Briar,Barron,Rugby,,True,False,D,Canadian Elite,,,Briar Barron
Summer,Athlete,Zorhan,Bassong,Soccer,,True,False,SR,Canadian Elite,,,Zorhan Bassong
Winter,Athlete,Emily,Bateman,Skeleton,Active,True,True,D,Canadian Elite,Female,,Emily Bateman
Winter,Athlete,Charlie,Beatty,Freestyle Ski,Incomplete,True,False,D,Canadian Elite,Male,,Charlie Beatty
